# KE: 100.00 MeV, L:  0 
# start: 0.00001 fm, dr:0.050, end:   20.00001 fm, nStep: 400 
#           r          Pot            u        du/dr            R        dR/dr
    6.250E+00   -1.246E+00   -7.575E-03   -9.058E-01   -1.222E-03   -1.459E-01
    6.300E+00   -1.149E+00   -5.273E-02   -8.984E-01   -8.436E-03   -1.424E-01
    6.350E+00   -1.059E+00   -9.724E-02   -8.802E-01   -1.543E-02   -1.373E-01
    6.400E+00   -9.759E-01   -1.406E-01   -8.512E-01   -2.214E-02   -1.306E-01
    6.450E+00   -8.993E-01   -1.822E-01   -8.119E-01   -2.847E-02   -1.224E-01
    6.500E+00   -8.286E-01   -2.216E-01   -7.629E-01   -3.436E-02   -1.129E-01
    6.550E+00   -7.633E-01   -2.583E-01   -7.046E-01   -3.974E-02   -1.023E-01
    6.600E+00   -7.032E-01   -2.919E-01   -6.378E-01   -4.457E-02   -9.056E-02
    6.650E+00   -6.477E-01   -3.220E-01   -5.633E-01   -4.878E-02   -7.795E-02
    6.700E+00   -5.965E-01   -3.481E-01   -4.820E-01   -5.235E-02   -6.461E-02
    6.750E+00   -5.493E-01   -3.701E-01   -3.949E-01   -5.523E-02   -5.070E-02
    6.800E+00   -5.059E-01   -3.875E-01   -3.031E-01   -5.741E-02   -3.640E-02
    6.850E+00   -4.658E-01   -4.003E-01   -2.077E-01   -5.887E-02   -2.189E-02
    6.900E+00   -4.289E-01   -4.083E-01   -1.098E-01   -5.960E-02   -7.329E-03
    6.950E+00   -3.948E-01   -4.113E-01   -1.061E-02   -5.961E-02    7.101E-03
    7.000E+00   -3.635E-01   -4.093E-01    8.868E-02   -5.890E-02    2.123E-02
    7.050E+00   -3.346E-01   -4.024E-01    1.869E-01   -5.749E-02    3.491E-02
    7.100E+00   -3.080E-01   -3.907E-01    2.828E-01   -5.542E-02    4.797E-02
    7.150E+00   -2.836E-01   -3.742E-01    3.753E-01   -5.271E-02    6.028E-02
    7.200E+00   -2.610E-01   -3.532E-01    4.632E-01   -4.940E-02    7.169E-02
    7.250E+00   -2.402E-01   -3.280E-01    5.455E-01   -4.555E-02    8.209E-02
    7.300E+00   -2.211E-01   -2.988E-01    6.213E-01   -4.121E-02    9.137E-02
    7.350E+00   -2.035E-01   -2.660E-01    6.895E-01   -3.644E-02    9.944E-02
    7.400E+00   -1.873E-01   -2.300E-01    7.494E-01   -3.129E-02    1.062E-01
    7.450E+00   -1.724E-01   -1.912E-01    8.003E-01   -2.584E-02    1.116E-01
    7.500E+00   -1.586E-01   -1.501E-01    8.415E-01   -2.015E-02    1.157E-01
    7.550E+00   -1.460E-01   -1.072E-01    8.725E-01   -1.430E-02    1.182E-01
    7.600E+00   -1.343E-01   -6.303E-02    8.931E-01   -8.349E-03    1.194E-01
    7.650E+00   -1.236E-01   -1.809E-02    9.029E-01   -2.380E-03    1.191E-01
    7.700E+00   -1.138E-01    2.707E-02    9.018E-01    3.539E-03    1.174E-01
    7.750E+00   -1.047E-01    7.191E-02    8.898E-01    9.339E-03    1.144E-01
    7.800E+00   -9.634E-02    1.159E-01    8.672E-01    1.495E-02    1.100E-01
    7.850E+00   -8.865E-02    1.585E-01    8.341E-01    2.031E-02    1.043E-01
    7.900E+00   -8.157E-02    1.991E-01    7.909E-01    2.537E-02    9.753E-02
    7.950E+00   -7.506E-02    2.374E-01    7.383E-01    3.005E-02    8.965E-02
    8.000E+00   -6.906E-02    2.728E-01    6.767E-01    3.431E-02    8.081E-02
    8.050E+00   -6.355E-02    3.049E-01    6.070E-01    3.812E-02    7.111E-02
    8.100E+00   -5.847E-02    3.334E-01    5.300E-01    4.141E-02    6.070E-02
    8.150E+00   -5.380E-02    3.578E-01    4.466E-01    4.418E-02    4.969E-02
    8.200E+00   -4.951E-02    3.780E-01    3.579E-01    4.637E-02    3.822E-02
    8.250E+00   -4.555E-02    3.935E-01    2.648E-01    4.799E-02    2.645E-02
    8.300E+00   -4.191E-02    4.044E-01    1.686E-01    4.902E-02    1.450E-02
    8.350E+00   -3.856E-02    4.104E-01    7.034E-02    4.944E-02    2.518E-03
    8.400E+00   -3.548E-02    4.114E-01   -2.877E-02    4.927E-02   -9.346E-03
    8.450E+00   -3.265E-02    4.075E-01   -1.275E-01    4.851E-02   -2.096E-02
    8.500E+00   -3.004E-02    3.987E-01   -2.248E-01    4.718E-02   -3.218E-02
    8.550E+00   -2.764E-02    3.851E-01   -3.193E-01    4.530E-02   -4.289E-02
    8.600E+00   -2.543E-02    3.668E-01   -4.099E-01    4.290E-02   -5.296E-02
    8.650E+00   -2.340E-02    3.442E-01   -4.957E-01    4.002E-02   -6.229E-02
    8.700E+00   -2.153E-02    3.173E-01   -5.754E-01    3.669E-02   -7.077E-02
    8.750E+00   -1.981E-02    2.867E-01   -6.483E-01    3.296E-02   -7.830E-02
    8.800E+00   -1.822E-02    2.527E-01   -7.133E-01    2.887E-02   -8.482E-02
    8.850E+00   -1.677E-02    2.155E-01   -7.698E-01    2.449E-02   -9.026E-02
    8.900E+00   -1.543E-02    1.758E-01   -8.170E-01    1.987E-02   -9.456E-02
    8.950E+00   -1.419E-02    1.340E-01   -8.543E-01    1.506E-02   -9.768E-02
    9.000E+00   -1.306E-02    9.057E-02   -8.814E-01    1.012E-02   -9.961E-02
    9.050E+00   -1.202E-02    4.604E-02   -8.979E-01    5.115E-03   -1.003E-01
    9.100E+00   -1.105E-02    9.585E-04   -9.035E-01    1.059E-04   -9.985E-02
    9.150E+00   -1.017E-02   -4.413E-02   -8.983E-01   -4.850E-03   -9.819E-02
    9.200E+00   -9.358E-03   -8.870E-02   -8.823E-01   -9.693E-03   -9.537E-02
    9.250E+00   -8.610E-03   -1.322E-01   -8.557E-01   -1.437E-02   -9.145E-02
    9.300E+00   -7.922E-03   -1.741E-01   -8.188E-01   -1.882E-02   -8.648E-02
    9.350E+00   -7.288E-03   -2.139E-01   -7.720E-01   -2.300E-02   -8.054E-02
    9.400E+00   -6.706E-03   -2.511E-01   -7.159E-01   -2.686E-02   -7.370E-02
    9.450E+00   -6.170E-03   -2.853E-01   -6.512E-01   -3.036E-02   -6.605E-02
    9.500E+00   -5.676E-03   -3.161E-01   -5.787E-01   -3.345E-02   -5.770E-02
    9.550E+00   -5.223E-03   -3.431E-01   -4.992E-01   -3.612E-02   -4.875E-02
    9.600E+00   -4.805E-03   -3.660E-01   -4.137E-01   -3.832E-02   -3.931E-02
    9.650E+00   -4.421E-03   -3.844E-01   -3.233E-01   -4.004E-02   -2.950E-02
    9.700E+00   -4.067E-03   -3.982E-01   -2.289E-01   -4.127E-02   -1.945E-02
    9.750E+00   -3.742E-03   -4.072E-01   -1.318E-01   -4.198E-02   -9.260E-03
    9.800E+00   -3.443E-03   -4.114E-01   -3.311E-02   -4.219E-02    9.312E-04
    9.850E+00   -3.168E-03   -4.105E-01    6.598E-02   -4.189E-02    1.101E-02
    9.900E+00   -2.915E-03   -4.048E-01    1.643E-01   -4.109E-02    2.085E-02
    9.950E+00   -2.681E-03   -3.941E-01    2.606E-01   -3.981E-02    3.035E-02
    1.000E+01   -2.467E-03   -3.788E-01    3.538E-01   -3.807E-02    3.938E-02
    1.005E+01   -2.270E-03   -3.588E-01    4.427E-01   -3.588E-02    4.786E-02
    1.010E+01   -2.088E-03   -3.346E-01    5.263E-01   -3.329E-02    5.568E-02
    1.015E+01   -1.921E-03   -3.063E-01    6.036E-01   -3.033E-02    6.276E-02
    1.020E+01   -1.768E-03   -2.744E-01    6.736E-01   -2.703E-02    6.903E-02
    1.025E+01   -1.626E-03   -2.391E-01    7.355E-01   -2.344E-02    7.441E-02
    1.030E+01   -1.496E-03   -2.010E-01    7.886E-01   -1.960E-02    7.884E-02
    1.035E+01   -1.377E-03   -1.604E-01    8.321E-01   -1.557E-02    8.230E-02
    1.040E+01   -1.267E-03   -1.179E-01    8.657E-01   -1.139E-02    8.474E-02
    1.045E+01   -1.165E-03   -7.400E-02    8.888E-01   -7.115E-03    8.615E-02
    1.050E+01   -1.072E-03   -2.920E-02    9.013E-01   -2.795E-03    8.651E-02
    1.055E+01   -9.865E-04    1.594E-02    9.029E-01    1.519E-03    8.584E-02
    1.060E+01   -9.076E-04    6.090E-02    8.936E-01    5.773E-03    8.415E-02
    1.065E+01   -8.351E-04    1.051E-01    8.736E-01    9.917E-03    8.148E-02
    1.070E+01   -7.683E-04    1.481E-01    8.430E-01    1.390E-02    7.785E-02
    1.075E+01   -7.069E-04    1.893E-01    8.024E-01    1.769E-02    7.333E-02
    1.080E+01   -6.503E-04    2.282E-01    7.520E-01    2.122E-02    6.798E-02
    1.085E+01   -5.983E-04    2.643E-01    6.927E-01    2.447E-02    6.187E-02
    1.090E+01   -5.505E-04    2.973E-01    6.250E-01    2.740E-02    5.508E-02
    1.095E+01   -5.065E-04    3.267E-01    5.497E-01    2.997E-02    4.769E-02
    1.100E+01   -4.660E-04    3.522E-01    4.679E-01    3.216E-02    3.979E-02
    1.105E+01   -4.287E-04    3.734E-01    3.804E-01    3.394E-02    3.150E-02
    1.110E+01   -3.945E-04    3.901E-01    2.884E-01    3.530E-02    2.290E-02
    1.115E+01   -3.629E-04    4.022E-01    1.929E-01    3.623E-02    1.411E-02
    1.120E+01   -3.339E-04    4.094E-01    9.502E-02    3.671E-02    5.229E-03
    1.125E+01   -3.072E-04    4.116E-01   -3.960E-03    3.675E-02   -3.635E-03
    1.130E+01   -2.826E-04    4.090E-01   -1.029E-01    3.635E-02   -1.238E-02
    1.135E+01   -2.600E-04    4.014E-01   -2.006E-01    3.552E-02   -2.089E-02
    1.140E+01   -2.393E-04    3.889E-01   -2.959E-01    3.427E-02   -2.909E-02
    1.145E+01   -2.201E-04    3.718E-01   -3.876E-01    3.262E-02   -3.686E-02
    1.150E+01   -2.025E-04    3.503E-01   -4.747E-01    3.059E-02   -4.413E-02
    1.155E+01   -1.863E-04    3.245E-01   -5.560E-01    2.822E-02   -5.080E-02
    1.160E+01   -1.714E-04    2.948E-01   -6.307E-01    2.552E-02   -5.681E-02
